,dwelling_involved_type,general_zoning_classification,Total_area,type_of_road,property_general_shape,property_Flatness,utilities_types,LotConfig,LandSlope,Neighborhood,dwelling_type,HouseStyle,OverallQual,OverallCond,RoofStyle,roof_material,exterior_covering_1,exterior_covering_2,masonry_veneer_type,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFinSF2,TotalBsmtSF,Heating,HeatingQC,CentralAir,electrical_system,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,total_rooms_above_grade,Functional,Fireplaces,GarageType,GarageYrBlt,interior_finish_garage,garage_car_capacity,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,three_season_porch_area,ScreenPorch,PoolArea,other_features_values,MoSold,YrSold,SaleType,SaleCondition,SalePrice,year_diff,Is_diff,finish_percentage_of_Bsmt,Unfinished_percentage_of_Bsmt,LotFrontage,Condition_all,Bsmt Exposure
10,20.0,RL,11200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,5.0,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Other,TA,TA,No,Rec,Unf,0.0,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,WD,Normal,129500.0,0.0,0.0,0.8711538461538462,0.12884615384615383,70.0,Norm,No
12,20.0,RL,12968.0,Pave,Other,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,6.0,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,Other,TA,TA,No,ALQ,Unf,0.0,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140.0,0.0,0.0,0.0,176.0,0.0,0.0,9.0,2008.0,WD,Normal,144000.0,0.0,0.0,0.8081140350877193,0.19188596491228072,91.0,Norm,No
13,20.0,RL,10652.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7.0,5.0,Gable,CompShg,VinylSd,VinylSd,Other,306.0,Gd,TA,Other,Gd,TA,Av,Unf,Unf,0.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,Other,Other,279500.0,1.0,1.0,0.0,1.0,67.64123524069028,Norm,Av
14,20.0,RL,10920.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NAmes,1Fam,1Story,6.0,5.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,Other,TA,TA,No,BLQ,Unf,0.0,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,1.0,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0.0,213.0,176.0,0.0,0.0,0.0,0.0,5.0,2008.0,WD,Normal,157000.0,0.0,0.0,0.5849960095770151,0.41500399042298486,51.0,Norm,No
15,45.0,RM,6120.0,Pave,Reg,Lvl,AllPub,Other,Gtl,BrkSide,1Fam,Other,7.0,8.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Other,TA,TA,No,Unf,Unf,0.0,832.0,GasA,Ex,Y,Other,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48.0,112.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,132000.0,72.0,1.0,0.0,1.0,67.64123524069028,Norm,No
16,20.0,RL,11241.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NAmes,1Fam,1Story,6.0,7.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,Other,TA,TA,No,ALQ,Unf,0.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,700.0,3.0,2010.0,WD,Normal,149000.0,0.0,0.0,0.5756972111553785,0.4243027888446215,72.0,Norm,No
18,20.0,RL,13695.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1Fam,1Story,5.0,5.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Other,TA,TA,No,GLQ,Unf,0.0,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0.0,102.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,WD,Normal,159000.0,0.0,0.0,0.5798922800718133,0.42010771992818674,70.0,Other,No
19,20.0,RL,7560.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,6.0,Hip,CompShg,Other,Plywood,None,0.0,TA,TA,Other,TA,TA,No,LwQ,Unf,0.0,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Other,0.0,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,Other,Other,139000.0,7.0,1.0,0.4897959183673469,0.5102040816326531,101.0,Norm,No
20,60.0,RL,14215.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NridgHt,1Fam,2Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,Other,Other,TA,Av,Unf,Unf,0.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Other,2005.0,RFn,3.0,853.0,TA,TA,Y,240.0,154.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,Other,Other,325300.0,1.0,1.0,0.0,1.0,57.0,Norm,Av
21,45.0,RM,7449.0,Pave,Reg,Other,AllPub,Inside,Gtl,IDOTRR,1Fam,Other,7.0,7.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Other,TA,TA,No,Unf,Unf,0.0,637.0,GasA,Ex,Y,Other,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0.0,0.0,205.0,0.0,0.0,0.0,0.0,6.0,2007.0,WD,Normal,139400.0,20.0,1.0,0.0,1.0,75.0,Norm,No
22,20.0,RL,9742.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,8.0,5.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,Other,Gd,TA,No,Unf,Unf,0.0,1777.0,GasA,Ex,Y,SBrkr,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171.0,159.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,230000.0,0.0,0.0,0.0,1.0,44.0,Norm,No
23,120.0,RM,4224.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Other,1Story,5.0,7.0,Gable,CompShg,Other,Other,None,0.0,TA,TA,Other,Gd,TA,No,GLQ,Unf,0.0,1040.0,GasA,TA,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,100.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,WD,Normal,129900.0,0.0,0.0,0.8076923076923077,0.19230769230769232,67.64123524069028,Norm,No
24,20.0,RL,8246.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5.0,8.0,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,Other,TA,TA,Mn,Rec,ALQ,668.0,1060.0,GasA,Ex,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,406.0,90.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,154000.0,33.0,1.0,0.8075471698113208,0.19245283018867926,110.0,Norm,Other
25,20.0,RL,14230.0,Pave,Reg,Lvl,AllPub,Other,Gtl,NridgHt,1Fam,1Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,Other,640.0,Gd,TA,Other,Gd,TA,No,Unf,Unf,0.0,1566.0,GasA,Ex,Y,SBrkr,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0.0,56.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,WD,Normal,256300.0,0.0,0.0,0.0,1.0,60.0,Norm,No
26,20.0,RL,7200.0,Pave,Reg,Lvl,AllPub,Other,Gtl,NAmes,1Fam,1Story,5.0,7.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,Other,TA,TA,Mn,BLQ,Rec,486.0,900.0,GasA,TA,Y,SBrkr,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,0.0,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222.0,32.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,134800.0,49.0,1.0,0.8,0.2,98.0,Norm,Other
27,20.0,RL,11478.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,Other,200.0,Gd,TA,Other,Other,TA,No,GLQ,Unf,0.0,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,WD,Normal,306000.0,1.0,1.0,0.7147887323943662,0.2852112676056338,47.0,Norm,No
28,20.0,RL,16321.0,Pave,IR1,Lvl,AllPub,Other,Gtl,NAmes,1Fam,1Story,5.0,6.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Other,TA,TA,Gd,BLQ,Unf,0.0,1484.0,GasA,TA,Y,SBrkr,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,2.0,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,288.0,258.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,WD,Normal,207500.0,40.0,1.0,0.860512129380054,0.13948787061994608,60.0,Norm,Other
29,30.0,RM,6324.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1Story,4.0,6.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Other,TA,TA,No,Unf,Unf,0.0,520.0,GasA,Other,N,SBrkr,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,1.0,1.0,Other,4.0,Typ,0.0,Detchd,1920.0,Unf,1.0,240.0,Other,TA,Y,49.0,0.0,87.0,0.0,0.0,0.0,0.0,5.0,2008.0,WD,Normal,68500.0,23.0,1.0,0.0,1.0,50.0,Other,No
30,70.0,Other,8500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,2Story,4.0,4.0,Other,CompShg,Other,Other,None,0.0,TA,Other,Other,TA,TA,No,Unf,Unf,0.0,649.0,GasA,TA,N,SBrkr,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,Detchd,1920.0,Unf,1.0,250.0,TA,Other,N,0.0,54.0,172.0,0.0,0.0,0.0,0.0,7.0,2008.0,WD,Normal,40000.0,30.0,1.0,0.0,1.0,67.64123524069028,Other,No
31,20.0,RL,8544.0,Pave,IR1,Lvl,AllPub,Other,Gtl,Sawyer,1Fam,1Story,5.0,6.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Other,TA,TA,No,Unf,Unf,0.0,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0.0,65.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,WD,Normal,149350.0,40.0,1.0,0.0,1.0,85.0,Norm,No
32,20.0,RL,11049.0,Pave,Reg,Lvl,AllPub,Other,Gtl,CollgCr,1Fam,1Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,Other,Other,TA,Av,Unf,Unf,0.0,1234.0,GasA,Ex,Y,SBrkr,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,WD,Normal,179900.0,0.0,0.0,0.0,1.0,70.0,Norm,Av
33,20.0,RL,10552.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,5.0,Hip,CompShg,Other,Other,None,0.0,TA,TA,Other,TA,TA,No,Rec,Unf,0.0,1398.0,GasA,Gd,Y,SBrkr,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,1.0,Gd,6.0,Typ,1.0,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,WD,Normal,165500.0,0.0,0.0,0.7281831187410587,0.2718168812589413,60.0,Norm,No
34,120.0,RL,7313.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Other,1Story,9.0,5.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Other,TA,Other,Other,TA,No,GLQ,Unf,0.0,1561.0,GasA,Ex,Y,SBrkr,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,Other,6.0,Typ,1.0,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,203.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,WD,Normal,277500.0,0.0,0.0,0.7386290839205637,0.26137091607943624,108.0,Norm,No
35,60.0,RL,13418.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,8.0,5.0,Gable,CompShg,VinylSd,VinylSd,Other,132.0,Gd,TA,Other,Other,TA,Av,Unf,Unf,0.0,1117.0,GasA,Ex,Y,SBrkr,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Other,2004.0,Fin,3.0,691.0,TA,TA,Y,113.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,2006.0,WD,Normal,309000.0,1.0,1.0,0.0,1.0,112.0,Norm,Av
36,20.0,RL,10859.0,Pave,Reg,Lvl,AllPub,Other,Gtl,CollgCr,1Fam,1Story,5.0,5.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Other,Gd,TA,No,Unf,Unf,0.0,1097.0,GasA,Ex,Y,SBrkr,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,392.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,WD,Normal,145000.0,1.0,1.0,0.0,1.0,74.0,Norm,No
37,20.0,RL,8532.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,Other,TA,TA,No,Rec,Unf,0.0,1297.0,GasA,Gd,Y,SBrkr,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,Attchd,1954.0,Fin,2.0,498.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2009.0,WD,Normal,153000.0,36.0,1.0,0.9352351580570547,0.06476484194294525,68.0,Norm,No
38,20.0,RL,7922.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5.0,7.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,Other,TA,TA,No,GLQ,Unf,0.0,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,0.0,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,WD,Other,109000.0,54.0,1.0,0.6915799432355724,0.30842005676442763,65.0,Norm,No
40,20.0,RL,8658.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6.0,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,Other,TA,TA,No,Rec,Unf,0.0,1088.0,GasA,Ex,Y,SBrkr,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Attchd,1965.0,RFn,2.0,440.0,TA,TA,Y,0.0,138.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,WD,Other,160000.0,0.0,0.0,0.5909926470588235,0.40900735294117646,115.0,Norm,No
41,20.0,RL,16905.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,1Fam,1Story,5.0,6.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,Other,TA,TA,Gd,BLQ,Unf,0.0,1350.0,GasA,Gd,Y,SBrkr,1328.0,0.0,0.0,1328.0,0.0,1.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,2.0,Attchd,1959.0,RFn,1.0,308.0,TA,TA,P,0.0,104.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,WD,Normal,170000.0,0.0,0.0,0.7162962962962963,0.2837037037037037,67.64123524069028,Norm,Other
42,85.0,RL,9180.0,Pave,IR1,Lvl,AllPub,Other,Gtl,SawyerW,1Fam,Other,5.0,7.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,Other,Gd,TA,Av,ALQ,LwQ,93.0,840.0,GasA,Gd,Y,SBrkr,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,2.0,1.0,Gd,5.0,Typ,0.0,Attchd,1983.0,RFn,2.0,504.0,TA,Other,Y,240.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,WD,Normal,144000.0,0.0,0.0,1.0,0.0,67.64123524069028,Norm,Av
43,20.0,RL,9200.0,Pave,IR1,Lvl,AllPub,Other,Gtl,CollgCr,1Fam,1Story,5.0,6.0,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Other,Gd,TA,Av,LwQ,BLQ,491.0,938.0,GasA,TA,Y,SBrkr,938.0,0.0,0.0,938.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,Detchd,1977.0,Unf,1.0,308.0,TA,TA,Y,145.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2008.0,WD,Normal,130250.0,5.0,1.0,0.8219616204690832,0.17803837953091683,70.0,Norm,Av
